tag_id,tag_type,key,value,offset
0001,3,CanonCameraSettings,,
0002,3,CanonFocalLength,,
0003,3,CanonFlashInfo,,
0004,3,CanonShotInfo,,
0006,2,CanonImageType,,
0007,2,CanonFirmwareVersion,,
0009,2,OwnerName,,
000d,7,CanonCameraInfo70D,,
0010,4,CanonModelID,,
0013,3,ThumbnailImageValidArea,,
0026,3,CanonAFInfo2,,
0035,4,TimeInfo,,
0093,3,CanonFileInfo,,
0095,2,LensModel,,
0096,2,SerialInfo,,
0097,7,DustRemovalData,,
0098,3,CropInfo,,
0099,4,CustomFunctions2,,
009a,4,AspectInfo,,
00a0,3,ProcessingInfo,,
00aa,3,MeasuredColor,,
00b4,3,ColorSpace,,
00d0,4,VRDOffset,,
00e0,3,SensorInfo,,
4001,3,ColorData,,
4008,3,PictureStyleUserDef,,
4009,3,PictureStylePC,,
4010,2,CustomPictureStyleFileName,,
4013,4,AFMicroAdj,,
4015,7,VignettingCorr,,
4016,4,VignettingCorr2,,
4018,4,LightingOpt,,
4019,7,LensInfo,,
4020,4,AmbienceInfo,,
4021,4,MultiExp,,
4024,4,FilterInfo,,
4025,4,HDRInfo,,
